,Primary_visual_cortex,Medial_superior_temporal_area,Sixth_Visual_Area,Second_Visual_Area,Third_Visual_Area,Forth_Visual_Area,Eighth_Visual_Area,Primary_Motor_Cortex,Primary_Sensory_Cortex,Frontal_Eye_Field,Premotor_Eye_Field,Area_55b,Area_V3A,RetroSplenial_Complex,Parieto-Occipital_Sulcus_Area_2,Seventh_Visual_Area,IntraParietal_Sulcus_Area_1,Fusiform_Face_Complex,Area_V3B,Lateral_Occipital_Area_1,Lateral_Occipital_Area_2,Posterior_InferoTemporal_Complex,Middle_Temporal_Area,Primary_Auditory_Cortex,PeriSylvian_Language_Area,Superior_Frontal_Language_Area,PreCuneus_Visual_Area,Superior_Temporal_Visual_Area,Medial_Area_7P,Area_7m,Parieto-Occipital_Sulcus_Area_1,Area_23d,Area_Ventral_23_a+b,Area_Dorsal_23_a+b,Area_31p_Ventral,Area_5m,Area_5m_ventral,Area_23c,Area_5L,Dorsal_Area_24d,Lateral_Area_7A,Supplementary_and_Cingulate_Eye_Field,Area_6m_Anterior,Medial_6m_anterior,Medial_Area_7A,Lateral_Area_7P,Area_7PC,Area_Lateral_IntraParietal_ventral,Ventral_IntraParietal_Complex,Medial_IntraParietal_Area,Area_1,Area_2,Area_3a,Dorsal_area_6,Area_6mp,Ventral_Area_6,Area_Posterior_24,Area_33_prime,Anterior_24_prime,Area_p32_prime,Area_a24,Area_dorsal_32,Area_8BM,Area_p32,Area_10r,Area_47m,Area_8Av,Area_8Ad,Area_9_Middle,Area_8B_Lateral,Area_9_Posterior,Area_10d,Area_8C,Area_44,Area_45,Area_47L,Area_anterior_47R,Rostral_Area_6,Area_IFJa,Area_IFJp,Area_IFSp,Area_IFSa,Area_posterior_9-46v,Area_46,Area_anterior_9-46v,Area_9-46d,Area_9_anterior,Area_10v,Area_anterior_10p,Polar_10p,Area_11,Area_13,Orbital_Frontal_Complex,Area_47s,Area_Lateral_IntraParietal_dorsal,Area_6_anterior,Inferior_6-8_Transitional_Area,Superior_6-8_Transitional_Area,Area_43,Area_OP4/PV,Area_OP1/SII,Area_OP2-3/VS,Area_52,RetroInsular_Cortex,Area_PFcm,Posterior_Insular_Area_2,Area_TA2,Frontal_OPercular_Area_4,Middle_Insular_Area,Pirform_Cortex,Anterior_Ventral_Insular_Area,Anterior_Agranular_Insula_Complex,Frontal_OPercular_Area_1,Frontal_OPercular_Area_3,Frontal_OPercular_Area_2,Area_PFt,Anterior_IntraParietal_Area,Entorhinal_Cortex,PreSubiculum,Hippocampus,ProStraite_Area,Perirhinal_Ectorhinal_Cortex,Area_STGa,ParaBelt_Complex,Auditory_5_Complex,ParaHippocampal_Area_1,ParaHippocampal_Area_3,Area_STSd_Anterior,Area_STSd_Posterior,Area_STSv_Posterior,Area_TG_Dorsal,Area_TE1_Anterior,Area_TE1_Posterior,Area_TE2_Anterior,Area_TF,Area_TE2_Posterior,Area_PHT,Area_PH,Area_TemporoParietoOccipital_Junction_1,Area_TemporoParietoOccipital_Junction_2,Area_TemporoParietoOccipital_Junction_3,Dorsal_Transitional_Visual_Area,Area_PGp,Area_IntraParietal_2,Area_IntraParietal_1,Area_IntraParietal_0,Area_PF_Opercular,Area_PF_Complex,Area_PFm_Complex,Area_PGi,Area_PGs,Area_V6A,VentroMedial_Visual_Area_1,VentroMedial_Visual_Area_3,ParaHippocampal_Area_2,Area_V4t,Area_FST,Area_V3CD,Area_Lateral_Occipital_3,VentroMedial_Visual_Area_2,Area_31pd,Area_31a,Ventral_Visual_Complex,Area_25,Area_s32,Posterior_OFC_Complex,Area_Posterior_Insular_1,Insular_Granular_Complex,Area_Frontal_Opercular_5,Area_Posterior_10p,Area_Posterior_47r,Area_TG_ventral,Medial_Belt_Complex,Lateral_Belt_Complex,Auditory_4_Complex,Area_STSv_Anterior,Area_TE1_Middle,Para-Insular_Area,Area_Anterior_32_Prime,Area_Posterior_24.1
P5203,0.3340714573860168,,,0.2533630728721618,0.2555954456329345,0.3556002676486969,,0.3792215287685394,0.2876622378826141,,,,0.8901270627975464,0.5877943634986877,1.0,,0.9999544620513916,0.6208992600440979,,,,,,,,0.8207972645759583,,,,,0.9569466710090636,,,,,,,0.9697150588035583,0.8695375919342041,0.6773671507835388,,0.7201930284500122,,0.7265973091125488,,,0.8183237910270691,,0.9999502897262572,,0.4141399562358856,0.4472315013408661,0.3668427765369415,1.0,0.7309228777885437,,,,,,,,,,,,0.8370347619056702,0.7204006314277649,,0.4400510787963867,0.953711986541748,0.7385619878768921,0.9735363721847534,,,,0.9554418325424194,,,,,,0.9070796370506288,0.6956399083137512,0.9997885823249816,0.8610522747039795,0.7392237782478333,0.491900622844696,,0.8723291158676147,0.514015793800354,0.8853930234909058,0.9792032837867736,,,0.9930893182754515,0.5424739122390747,,,,,,,,,0.8351084589958191,,0.9572009444236756,0.6722502112388611,,,0.705452024936676,,,,,,0.9058926105499268,0.5375177264213562,1.0,,0.3861077725887298,,,1.0,0.8795345425605774,0.5335532426834106,,,,0.8754475712776184,,,0.8630057573318481,0.8488372564315796,,,,,,,0.6049075126647949,,,1.0,0.9937458634376526,,,0.3835261464118957,,0.5800301432609558,,,,,,,,,,,,0.9564849734306335,,,1.0,0.8888757228851318,1.0,1.0,0.9504477381706238,,,,,,,,,,0.1887954920530319
P5205,0.4661858379840851,,,0.3222723007202148,0.5024463534355164,0.572250485420227,,0.4437729716300964,0.3688735067844391,1.0,,0.9895036816596984,0.82197505235672,0.810028076171875,0.9658679962158204,0.969777762889862,0.903456449508667,0.503345251083374,,,1.0,1.0,,,,0.6617740392684937,,,,,0.7031371593475342,,,,,,0.9995228052139282,0.8034406900405884,0.9012497663497924,0.8187262415885925,,0.6843053102493286,1.0,0.6261339783668518,,,0.6804904341697693,,0.6897537708282471,,0.4012036025524139,0.4286727011203766,0.5595741271972656,0.8850576877593994,0.6896615028381348,,,,,,,,,,,,0.5800991654396057,0.5398380160331726,,0.6507323980331421,0.6738407611846924,0.5847205519676208,0.66569983959198,,,,0.4657396376132965,,,,,1.0,0.8194059133529663,0.5656958222389221,0.68328857421875,0.5952934622764587,0.6003212332725525,0.6148579716682434,0.861431896686554,0.6318450570106506,0.683157742023468,0.511640191078186,0.7372142672538757,0.8358874917030334,,0.8069941997528076,0.7643277049064636,0.6161739826202393,,,0.9660218954086304,0.7659774422645569,,0.8761880993843079,,0.5414003133773804,0.9699488878250122,0.7692692279815674,0.7700181007385254,,,0.888401985168457,,,,,0.9691789746284484,0.6941531300544739,0.7404059767723083,0.6947737336158752,0.7323275208473206,0.5105124115943909,,0.824252724647522,0.9184431433677672,0.7142236232757568,0.6948806047439575,,0.999999701976776,,0.6611606478691101,,,0.6226521730422974,0.5760090351104736,0.9056272506713868,,0.8511107563972473,,,1.0,0.609818160533905,0.8579661250114441,0.9619293212890624,0.7980620265007019,0.854193925857544,,,0.5509674549102783,0.8632611036300659,0.7694602608680725,1.0,0.7170389890670776,0.8908451199531555,,,1.0,,,1.0,,,0.629016101360321,,,1.0,0.6679900288581848,0.8401725888252258,0.7786963582038879,0.8137296438217163,,0.8789075016975403,0.9525935053825378,,,,,0.9402052760124208,,0.1667046397924423
P5211,0.2948155403137207,,,0.3861516118049621,0.4308285415172577,0.4842225909233093,,0.3347940444946289,0.2923188209533691,,,,1.0,0.530659556388855,1.0,,1.0,0.731053352355957,,,,,,,,0.974702000617981,,,,,,,,,,,,0.4164436757564544,0.8878196477890015,1.0,,0.8444020748138428,,0.5896288752555847,,,0.7301021218299866,,0.7304528951644897,,0.6591063737869263,0.568545937538147,0.5167612433433533,0.8800224661827087,0.8841834664344788,,,,,,,,,,,,0.8308597207069397,0.5936475396156311,,0.6557426452636719,0.7719653248786926,,0.722628653049469,,,,0.5184343457221985,,,,,,0.7904943227767944,0.5961500406265259,0.9542179703712464,0.90207439661026,0.6783291697502136,0.5774275064468384,,0.6134979724884033,0.5238495469093323,0.7719545960426331,0.7330698370933533,,,0.849803626537323,0.8783556222915649,1.0,,,,,,,,0.865490734577179,,0.7934847474098206,0.8811562657356262,,,0.9980480670928956,,,,,,0.7699436545372009,0.8753615021705627,0.5791476368904114,1.0,0.2811374366283417,,,,0.9578996896743774,0.8985061645507812,,,,0.616165280342102,,,0.8685837984085083,0.6604247689247131,0.99999338388443,,0.9937678575515748,,,,0.5394033193588257,,1.0,0.9991444945335388,0.7852126359939575,,,0.5562570691108704,0.8841845989227295,0.7411434054374695,,1.0,,,,,,,,,,0.8179890513420105,,,1.0,,0.8643974661827087,0.9732806086540222,0.7825555801391602,,1.0,,,,,,1.0,,0.2301117032766342
P5229,0.3174875378608703,,,0.2893418371677398,0.3202314078807831,0.461085706949234,,0.4102624058723449,0.3158197104930877,,,1.0,0.7379190921783447,0.4761622250080108,0.5970290899276733,0.99858421087265,0.8426135778427124,0.6857481598854065,,,,1.0,,,,0.6160323023796082,,,,,0.5276959538459778,,,,,,0.9995129704475404,0.6371375918388367,0.742479145526886,0.8111913800239563,,0.7228201627731323,,0.4987353980541229,,1.0,0.6622631549835205,,0.6391496658325195,1.0,0.2552992701530456,0.4408365190029144,0.350471019744873,0.7990516424179077,0.6252986192703247,,,,,,,,,,,,0.4953912496566772,0.6014935970306396,,0.3840519189834595,0.5748869180679321,0.4184681475162506,0.8630326986312866,,,,0.7998606562614441,,,,,0.9088110327720642,0.6241475939750671,0.4977072477340698,0.8364441394805908,0.776878833770752,0.5266749262809753,0.445330947637558,0.914254367351532,0.7099744081497192,0.7834830284118652,0.8144999146461487,0.7882958054542542,0.9839399456977844,,0.7069545984268188,0.8696807622909546,0.9909436702728271,,,,0.9446589946746826,,0.7036938667297363,,0.6256799697875977,,0.9172180891036988,0.8485594391822815,,,0.809834897518158,,,,,1.0,0.6830081939697266,0.7140293121337891,0.8857133388519287,0.9977796077728271,0.6832250356674194,,,0.9985046982765198,0.7041652798652649,0.6201444864273071,,,,0.7418507933616638,,,0.8181018829345703,0.6827218532562256,0.858887791633606,,0.7815017700195312,,,,0.5474427342414856,0.8660452961921692,0.9967175722122192,0.874197244644165,0.8792524933815002,,,0.4219759702682495,0.8180909752845764,0.561130940914154,0.9999986886978148,0.7943213582038879,1.0,,,0.9584460258483888,,,,1.0,,0.8217229843139648,,,0.8590307831764221,0.6357477903366089,0.9545037150382996,0.6770789623260498,0.7860023379325867,1.0,,1.0,,,,,0.8724526762962341,,0.1360224038362503
P5216,0.3407228589057922,,,0.2805406749248504,0.2458066046237945,0.5142956376075745,,0.2986153662204742,0.2651999592781067,1.0,,1.0,0.9649466872215272,0.512567400932312,1.0,1.0,1.0,0.5891335606575012,,,,,,,,0.7146126627922058,,,,,,,,,,,1.0,0.5217733979225159,0.922957479953766,1.0,,0.734972357749939,,0.6203546524047852,,,0.7334136962890625,,0.7399436831474304,,0.3766980469226837,0.4487714469432831,0.3158997297286987,0.9273035526275636,0.8768839836120605,,,,,,,,,,,,0.6662819385528564,0.5642901659011841,,0.7272216081619263,0.6846083402633667,,0.4918561577796936,,,,0.4020974338054657,,,,,,0.5123666524887085,0.6322729587554932,0.8786054849624634,0.6502220630645752,0.7253742218017578,0.6132975816726685,,0.7289629578590393,0.7417723536491394,0.7571784853935242,0.6406872272491455,1.0,,0.7603440284729004,0.9009284377098083,0.9909476041793824,,,,,,,,0.6831552982330322,0.909700572490692,0.7597192525863647,0.7977837324142456,,,0.8788465857505798,,,,,0.987340807914734,0.6879746317863464,0.7024034857749939,0.7910704016685486,0.9097278118133544,0.5229200124740601,,,,0.6941271424293518,0.7976247668266296,,,,0.3565265536308288,,,0.7325138449668884,0.4509438276290893,0.9142051339149476,,0.8613667488098145,,,,0.5574342608451843,,1.0,0.9714152216911316,0.9420723915100098,,,0.5209696292877197,0.6894352436065674,0.5305421948432922,,1.0,0.8802011609077454,,,,,,,,,0.793856143951416,,,1.0,0.9214807152748108,0.9101349115371704,0.951546549797058,0.805627167224884,,0.7989727854728699,1.0,,,,,0.6978280544281006,,0.16973277926445
P5220,0.3889891803264618,,,0.3225842714309692,0.3396005630493164,0.5040671825408936,,0.3769405484199524,0.3776155114173889,,,,0.9715829491615297,0.5379940271377563,0.9884021282196044,,0.935401201248169,0.763894259929657,,,,,,,,0.8834467530250549,,,,,0.889385461807251,,,,,,1.0,0.9655463099479676,0.8555677533149719,0.7627807855606079,,0.8859959840774536,,0.6145644783973694,,1.0,0.8638907074928284,,0.8028304576873779,1.0,0.4710623621940613,0.6405970454216003,0.436451256275177,0.9931292533874512,0.7902454137802124,,,,,,,,,,,,0.7793318033218384,0.6765557527542114,,0.6964067816734314,0.8391186594963074,0.8240720629692078,0.9279431104660034,,,,0.7322492003440857,,,,,0.9414277076721193,0.93203604221344,0.7950339317321777,0.9232126474380492,0.7397623658180237,0.6757241487503052,0.6936402916908264,0.9441132545471193,0.6980118155479431,0.6519217491149902,0.7080760598182678,0.805671751499176,0.9998663663864136,,0.7768350839614868,0.9354220628738404,0.9816031455993652,,,,0.6726664304733276,,,,0.8095716834068298,,0.9469953179359436,0.8347975611686707,,,0.8763003349304199,,,,,,0.8016257286071777,0.8099469542503357,0.874407172203064,0.9936426877975464,0.7429139018058777,,,0.9992882013320924,0.8437526226043701,0.9154565334320068,,,,0.7747300267219543,,,0.96429443359375,0.8466949462890625,0.970418393611908,,0.9192147850990297,,,,0.7168412208557129,0.90352064371109,,0.8732742667198181,0.919866383075714,,,0.6809991598129272,0.9443944692611694,0.755236804485321,1.0,0.8159579634666443,,,,0.6753565073013306,,,,1.0,,0.7561789155006409,,,0.8820564150810242,0.8958402276039124,0.9132221937179564,0.9618782997131348,0.7316622138023376,1.0,,1.0,,,,,,,0.1656339913606643
P5218,0.7743765711784363,,,0.4091611504554748,0.5227617621421814,,,0.4978427588939667,0.4530147612094879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5311649441719055,1.0,0.5859646797180176,,,,,,,,,,,,,,,,,,,,,,,,0.7581949830055237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7445071935653687,,,,,,,,,0.8252491354942322,,,,1.0,,,,,,,,,,,,,,0.9199057817459106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1432599425315857
P5227,0.5648743510246277,,,0.4351546764373779,0.364641010761261,0.3555810451507568,,0.367851585149765,0.4039455950260162,,,,0.6371256113052368,0.7096816897392273,0.9631944298744202,,0.970098614692688,0.9995412826538086,,,,,,,,0.6684408783912659,,,,,0.8111281394958496,,,,,,1.0,0.9863722324371338,0.7800027132034302,0.7143932580947876,,0.9901397228240968,1.0,0.6537591814994812,1.0,1.0,0.5698063969612122,1.0,0.9124892354011536,0.9999639391899108,0.3279429972171783,0.5281378030776978,0.4286604821681976,0.99733704328537,0.7548232674598694,,,,,,,,,,,,0.8364490866661072,0.6406099200248718,,0.4443674981594085,0.5324820280075073,0.6916736960411072,0.964105784893036,,,,0.5572665929794312,,,,,0.99980229139328,0.9104465842247008,0.7512074708938599,0.7538569569587708,0.746479868888855,0.5580011606216431,0.4479713141918182,0.999982476234436,0.783818781375885,0.8885548710823059,0.7713017463684082,0.5577625632286072,0.9980540871620178,,0.6778293251991272,0.9293795824050904,0.9230359792709352,,,,,,,,0.6889281272888184,,0.980215549468994,0.5400803089141846,0.9363576769828796,1.0,0.9660508036613464,,,,,,0.4184149205684662,0.5401625037193298,0.9999991059303284,0.626767635345459,0.9545117616653442,,,0.9991715550422668,0.6642919182777405,0.8469805717468262,,,,,,,0.8655664920806885,,0.96482253074646,,0.6887792944908142,,,,0.6215270757675171,0.7648802399635315,,0.5898060202598572,0.7565466165542603,,,0.6210007071495056,0.926093816757202,0.6616332530975342,0.9999639391899108,0.7464309930801392,,,,,,,,1.0,,0.6800804138183594,,,0.9712257385253906,0.8500931859016418,1.0,0.9028207659721376,0.9278571605682372,1.0,,0.9999343752861024,,,,,,,0.1523361355066299
P5228,0.2541110813617706,,,0.2412967532873153,0.3418164253234863,0.3363916575908661,,0.2626479566097259,0.268697053194046,1.0,,0.9762751460075378,0.7333009243011475,0.52525794506073,0.9528528451919556,0.9669896364212036,0.9999862313270568,0.4513462781906128,,,,1.0,,,,0.8828898072242737,,,,,0.8211033940315247,,,,,,0.9904723167419434,0.9008535146713256,0.7031020522117615,0.9307036399841307,,0.7955541610717773,1.0,0.437561422586441,,,0.5405269265174866,,0.6206343173980713,,0.2743215560913086,0.5286375880241394,0.4840887188911438,0.8642794489860535,0.6129165887832642,,,,,,,,,,,,0.3871560990810394,0.509138822555542,,0.6339467763900757,0.5442280173301697,0.6654230952262878,0.661629319190979,,,,0.4941199421882629,,,,,1.0,0.5801334977149963,0.3551309108734131,0.5364637970924377,0.5565066337585449,0.4633558690547943,0.4356852769851684,0.9700174927711488,0.6137197017669678,0.6232109069824219,0.5415174961090088,0.7896673679351807,0.8913562893867493,,0.7334768772125244,0.738341748714447,0.6535131335258484,,,1.0,0.7910891771316528,,0.835859477519989,,0.5396395325660706,0.6706967353820801,0.6540078520774841,0.7325302362442017,,,0.7139344215393066,,,,,0.993408203125,0.6151284575462341,0.6054996252059937,0.6693685054779053,0.8636718392372131,0.5072143077850342,,0.999996304512024,0.958085834980011,0.672020435333252,0.5272725224494934,,1.0,,0.3250284790992737,,,0.7169448733329773,0.3910638689994812,0.8831059336662292,,0.6934506893157959,,,1.0,0.4366941750049591,0.8523246645927429,0.9075376391410828,0.920592725276947,0.8756096959114075,,,0.4469311237335205,0.7552788853645325,0.4039743542671203,1.0,0.7627386450767517,0.81586754322052,,,1.0,,,1.0,,,0.7227507829666138,,,1.0,0.5513246059417725,0.8634508848190308,0.8387773633003235,0.5801489949226379,,,0.985771417617798,,,,,0.964232623577118,,0.1367371827363968
P5210,0.3876073956489563,,,0.2518023252487182,0.2632222771644592,0.406713455915451,,0.2755071818828583,0.2904596030712127,1.0,,0.9897555708885192,0.9876957535743712,0.4453515708446502,0.9601794481277466,1.0,1.0,0.5121577978134155,,,,,,,,0.8639867901802063,,,,,0.9992930293083192,,,,,,1.0,0.9808427095413208,0.7808471322059631,0.9653414487838744,,0.8549169301986694,,0.6289564371109009,,,0.5311472415924072,,0.8376101851463318,,0.4085132777690887,0.3509913980960846,0.3336248993873596,0.8310361504554749,0.8667728304862976,,,,,,,,,,,,0.4237955510616302,0.6833965182304382,,0.7679258584976196,0.7792595028877258,0.6158326268196106,0.4784603118896484,,,,0.3471517264842987,,,,,1.0,0.5036712884902954,0.4266576170921325,0.6378504037857056,0.4312235713005066,0.6702961325645447,0.3361057639122009,,0.7276779413223267,0.6735568642616272,0.7977831363677979,0.7854185104370117,0.8935561776161194,,0.5991299748420715,0.6856451034545898,0.8166024088859558,,,1.0,0.8759954571723938,,1.0,,0.4472911357879638,0.7009708881378174,0.5709887742996216,0.7354737520217896,,,0.7852532863616943,,,,,0.9928827285766602,0.8122992515563965,0.7723603844642639,0.6652125716209412,0.8758267760276794,0.3714636862277984,,1.0,,0.8362571597099304,0.5893990397453308,,,,0.3255888223648071,,,0.8153129816055298,0.5222300887107849,0.815481960773468,,0.8020082712173462,,,,0.7882345914840698,1.0,0.9629849195480348,0.7341103553771973,0.8405423164367676,,,0.4654851853847503,0.6743370890617371,0.4291302859783172,,0.8440165519714355,0.911626935005188,,,,,,1.0,,,0.6231251955032349,,,1.0,0.6760492920875549,0.7474535703659058,0.6721556186676025,0.6416632533073425,,0.5277791619300842,0.9978917241096495,,,,,0.7638000845909119,,0.1596979349851608
P5209,0.4612521529197693,,,0.361024796962738,0.4256636798381805,0.5606999397277832,,0.3851911425590515,0.3492393791675567,,,1.0,0.9998379945755004,0.6574254035949707,1.0,,1.0,0.7272001504898071,,,,1.0,,,,0.9618300199508668,,,,,0.9396696090698242,,,,,,,0.9383980631828308,0.9847609400749208,0.909793734550476,,0.9169016480445862,,0.8671179413795471,,,0.4655482769012451,,0.8662775158882141,,0.4411661624908447,0.4056530594825744,0.5021281838417053,0.8871930837631226,0.767037570476532,,,,,,,,,,,,0.5348570942878723,0.6684542298316956,,0.9370620250701904,0.9549694061279296,0.7182839512825012,0.6009371280670166,,,,0.5579051971435547,,,,,1.0,0.7385715842247009,0.426601767539978,0.923565685749054,0.8277424573898315,0.8222235441207886,0.8250110745429993,1.0,0.6991143226623535,0.4995777010917663,0.709181547164917,0.7398809790611267,0.9847072958946228,,0.9870450496673584,0.7019917964935303,,,,,0.9922689199447632,,0.9847072958946228,,0.5017868280410767,0.6716514229774475,0.9573426246643066,0.791968822479248,,,0.8049943447113037,,,,,1.0,0.941603660583496,0.9468465447425842,0.9570480585098268,,0.530691921710968,,,,0.9996821284294128,0.7824934124946594,,,,0.5799944400787354,,,0.9080922603607178,0.7816706299781799,0.9151003360748292,,0.8103811740875244,,,,0.5573225617408752,0.9915946125984192,0.9708566069602966,0.9664764404296876,0.8703663349151611,,,0.460617184638977,0.9114456176757812,0.4509342312812805,,1.0,,,,1.0,,,,,,0.7563531994819641,,,1.0,0.5779378414154053,0.8580440878868103,0.8646215200424194,0.8547998666763306,,,0.9979775547981262,,,,,0.8598790168762207,,0.2196641862392425
P5207,0.3031506836414337,,,0.3278258144855499,0.3068406283855438,0.5630922913551331,,0.3428926765918731,0.36583012342453,1.0,,0.9796335697174072,0.6811668872833252,0.5402472019195557,0.8176034688949585,0.8254745006561279,0.9283278584480286,0.5699741840362549,,,,1.0,,,,0.508886456489563,,,,,0.8318297266960144,,,,,,0.9558537602424622,0.7546998262405396,0.7752251029014587,0.6784457564353943,,0.777204692363739,1.0,0.5413905382156372,,,0.6194903254508972,,0.8923581838607788,,0.4820733070373535,0.7686230540275574,0.3577359020709991,0.6759932637214661,0.638617217540741,,,,,,,,,,,,0.5565569996833801,0.5883694887161255,,0.5647678971290588,0.6183485984802246,0.556198239326477,0.6463024616241455,,,1.0,0.5594317317008972,,,,,1.0,0.5329780578613281,0.5657508373260498,0.652421772480011,0.6038805246353149,0.5849883556365967,0.565951943397522,0.8391125798225403,0.5551022887229919,0.7289597988128662,0.697414755821228,0.5947927832603455,0.9342681765556335,,0.7399404048919678,0.6875635981559753,0.8604555726051331,,,0.9732043147087096,0.9095256328582764,,0.9669653177261353,,0.5947250127792358,0.8375376462936401,0.6018705368041992,0.6983237266540527,,,0.7607777118682861,,1.0,,,0.9963374733924866,0.602683424949646,0.6370249390602112,0.7481593489646912,0.9454256296157836,0.5537646412849426,1.0,0.9065320491790771,0.9015313982963562,0.6876133680343628,0.7179785370826721,,1.0,,0.5352681279182434,,,0.5837535858154297,0.6128819584846497,0.6295806765556335,,0.7251063585281372,,,1.0,0.5383597016334534,0.6402260661125183,0.97257399559021,0.791648805141449,0.8795803785324097,,,0.6096161603927612,0.6702955961227417,0.5633178949356079,1.0,0.814418613910675,0.9579625129699708,1.0,,1.0,1.0,,1.0,,,0.6584017276763916,,,1.0,0.7779145836830139,0.796261191368103,0.5977034568786621,0.8126563429832458,,,0.9965552091598512,,,,,0.8842858076095581,,0.1880348622798919
P5201,0.3017015755176544,1.0,,0.2887048721313476,0.2970466017723083,0.4758252501487732,,0.2305400520563125,0.3974509239196777,0.9964046478271484,,0.8603113293647766,0.8559408783912659,0.697746753692627,0.9995321035385132,1.0,0.8747912645339966,0.4813650846481323,,,1.0,0.9992862939834596,,,,0.9991102814674376,,,,,0.7369659543037415,,,,,,1.0,,0.7791669964790344,,,0.8415936827659607,,0.5851638317108154,,1.0,0.5045177936553955,1.0,0.9222589731216432,0.5757958292961121,0.486124187707901,0.5808513164520264,0.4323349893093109,0.7496435642242432,0.6110336184501648,,,,,,,,,,,1.0,0.4783622026443481,0.6373435258865356,,0.6566808223724365,0.706112265586853,0.5803316831588745,0.7378445863723755,0.9999836087226868,1.0,0.7392711639404297,0.6355150938034058,,0.9998266100883484,,1.0,0.6565942764282227,0.6766517162322998,0.4807054996490478,0.7296572923660278,0.6165653467178345,0.5016089677810669,0.5336924195289612,0.7184126973152161,0.5738124847412109,0.7379115223884583,0.7398204803466797,1.0,0.7123433947563171,,0.6673647165298462,0.7353475093841553,0.7625517845153809,,,0.8031256794929504,0.8864150047302246,1.0,0.8689806461334229,1.0,0.6097356081008911,0.6329171061515808,0.6625528335571289,0.4306316375732422,0.9063554406166076,0.8345851302146912,0.7020480632781982,,1.0,1.0,1.0,0.9973797798156738,0.6768253445625305,0.8200193047523499,0.6136707663536072,0.6682030558586121,0.6683527827262878,0.961948573589325,0.8627771735191345,0.999408483505249,0.7333544492721558,0.6494291424751282,,0.798780083656311,,0.9351508021354676,,,1.0,0.5633448362350464,0.8173036575317383,,0.6365909576416016,,,0.9285855293273926,0.6455894708633423,0.6221063733100891,0.8298247456550598,0.7641609311103821,0.6710355877876282,,,0.5867169499397278,0.7770783305168152,0.4720112085342407,0.9998963475227356,0.7947306632995605,,,,0.9230054020881652,1.0,,,1.0,,0.7261106967926025,,,0.8270927667617798,0.6727549433708191,0.6903340220451355,0.7820069789886475,0.6790462732315063,0.7338239550590515,0.0,0.6481025815010071,,,,,0.9117586612701416,,0.2516892850399017
P5206,0.4405159652233124,,,0.19065548479557037,0.22277019917964935,0.3978291153907776,,0.3243198096752167,0.4295976758003235,,,,1.0,0.5838890075683594,1.0,,1.0,0.4924097955226898,,,,,,,,0.9532120823860168,,,,,,,,,,,,0.698306143283844,0.9890837669372559,1.0,,0.7922693490982056,,0.8874351978302002,,,0.6805166006088257,,0.8735225200653076,,0.21757790446281433,0.7199882864952087,0.32942065596580505,0.923898458480835,0.9889264702796936,,,,,,,,,,,,0.7221812605857849,0.5257742404937744,,0.8346816897392273,0.8956922888755798,,0.6720224022865295,,,,0.5616355538368225,,,,,,0.8561853170394897,0.694253146648407,0.9262564778327942,0.8157581686973572,0.8848665356636047,0.6002132296562195,,0.5596897602081299,0.6405208110809326,0.7265898585319519,0.691495954990387,,,0.9540356993675232,0.9263144135475159,1.0,,,,,,,,0.7214201092720032,0.6146213412284851,0.874649703502655,0.8949750065803528,,,0.9994691610336304,,,,,,0.8561838865280151,0.8045747876167297,0.7878751158714294,1.0,0.5311028957366943,,,,0.994309663772583,0.7019168734550476,,,,0.5713915228843689,,,0.7284368276596069,0.6283217072486877,0.999618411064148,,0.9767395853996277,,,,0.7971834540367126,,1.0,0.9949740767478943,0.9726088643074036,,,0.5417324900627136,0.8656802773475647,0.6215255856513977,,1.0,,,,,,,,,,0.9338017106056213,,,1.0,,0.8545466661453247,0.9367220997810364,0.9253367781639099,,,1.0,,,,,0.9934252500534058,,0.141635462641716
P5230,0.28760308027267456,,,0.39735013246536255,0.725368320941925,0.9004554152488708,,0.34257379174232483,0.4324612617492676,,,,1.0,0.7559605240821838,,,1.0,,,,,,,,,1.0,,,,,0.5506232976913452,,,,,,,,0.8964889049530029,,,,,0.875324547290802,,,0.9998558759689331,,,,0.5147210955619812,0.49626609683036804,0.4739252030849457,,0.9860093593597412,,,,,,,,,,,,0.9999832510948181,0.885825514793396,,0.8642839193344116,0.9998726844787598,0.8350456953048706,,,,,0.9425619840621948,,,,,,0.9999755620956421,0.9485269784927368,,0.7790624499320984,0.8169669508934021,0.39302659034729004,,0.6014237999916077,,,,,,0.9511241316795349,,,,,,,,,,0.5555419921875,,,,,,,,,,,,1.0,1.0,,,0.9268820285797119,,,,0.9999526739120483,,,,,,,,,,,,,,,,0.37751448154449463,,,,,,,0.866183876991272,,0.9049246311187744,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,0.17256639897823334
